project_name,donor_number,chain_donated,token,amount,amountUSD,qf_eligible,badgeholder
Safe Multisig Transaction Hashes,Donor 51,1,USDC,13.37,13.36656391,TRUE,FALSE
CrossBar Open Source Security Hardware Wallet,Donor 51,1,USDC,13.37,13.36656391,TRUE,FALSE
SEAL 911,Donor 51,1,USDC,13.37,13.36656391,TRUE,FALSE
SEAL Frameworks,Donor 51,1,USDC,13.37,13.36656391,TRUE,FALSE
SEAL 911,Donor 52,1,USDC,75,74.98845,TRUE,FALSE
SEAL Intel,Donor 52,1,USDC,75,74.98845,TRUE,FALSE
SEAL Safe Harbor,Donor 52,1,USDC,75,74.98845,TRUE,FALSE
SEAL Frameworks,Donor 52,1,USDC,75,74.98845,TRUE,FALSE
ZachXBT,Donor 52,1,USDC,75,74.98845,TRUE,FALSE
Verity: Formal Verification for Smart Contracts,Donor 52,1,USDC,75,74.98845,TRUE,FALSE
rotki,Donor 52,1,USDC,75,74.98845,TRUE,FALSE
SEAL Certifications,Donor 52,1,USDC,75,74.98845,TRUE,FALSE
human.tech,Donor 53,8453,USDC,1,0.999861,TRUE,FALSE
ZachXBT,Donor 54,100,GNO,0.06,7.2438,TRUE,FALSE
SEAL 911,Donor 54,100,GNO,0.06,7.2438,TRUE,FALSE
Revoke.cash,Donor 54,100,GNO,0.06,7.2438,TRUE,FALSE
Colibri: Trustless Blockchain Data for Wallets and dApp,Donor 54,100,GNO,0.06,7.2438,TRUE,FALSE
Sourcify,Donor 54,100,GNO,0.06,7.2438,TRUE,FALSE
Dappnode,Donor 54,100,GNO,0.06,7.2438,TRUE,FALSE
Blobscan,Donor 54,100,GNO,0.06,7.2438,TRUE,FALSE
SEAL Frameworks,Donor 55,8453,ETH,0.00075,1.7483175,TRUE,FALSE
SEAL 911,Donor 55,8453,ETH,0.00075,1.7483175,TRUE,FALSE
ZachXBT,Donor 55,8453,ETH,0.00075,1.7483175,TRUE,FALSE
SEAL Intel,Donor 55,8453,ETH,0.00075,1.7483175,TRUE,FALSE
rotki,Donor 55,8453,ETH,0.00075,1.7483175,TRUE,FALSE
SEAL Certifications,Donor 55,8453,ETH,0.00075,1.7483175,TRUE,FALSE
Protocol Guild,Donor 55,8453,ETH,0.00075,1.7483175,TRUE,FALSE
SEAL Safe Harbor,Donor 55,8453,ETH,0.00075,1.7483175,TRUE,FALSE
human.tech,Donor 56,8453,USDC,1,0.999731,TRUE,FALSE
Militereum,Donor 21,10,USDC,2,1.999768,TRUE,FALSE
rotki,Donor 51,1,USDC,10,9.99893,TRUE,FALSE
Remix Project,Donor 57,1,FINN,1,2.33119,TRUE,TRUE
ZachXBT,Donor 57,1,FINN,1,2.33119,TRUE,TRUE
Open-Source AI Security Triage by HackenProof,Donor 57,1,FINN,1,2.33119,TRUE,TRUE
Grego AI,Donor 57,1,FINN,1,2.33119,TRUE,TRUE
CypherTalk Podcast: Security Education for Ethereum,Donor 57,1,FINN,1,2.33119,TRUE,TRUE
Zealynx Academy,Donor 57,1,FINN,1,2.33119,TRUE,TRUE
Tool Against Price Manipulation Attacks in DeFi on EVM,Donor 57,1,FINN,1,2.33119,TRUE,TRUE
Cyfrin/Solodit Tooling and Security Research,Donor 57,1,FINN,1,2.33119,TRUE,TRUE
EVM Chronicle,Donor 57,1,FINN,1,2.33119,TRUE,TRUE
Cyfrin Updraft,Donor 57,1,FINN,1,2.33119,TRUE,TRUE
Vyper,Donor 57,1,FINN,1,2.33119,TRUE,TRUE
SEAL Frameworks,Donor 57,1,FINN,1,2.33119,TRUE,TRUE
Rekt News - Ethereum's Security Intelligence Layer,Donor 57,1,FINN,1,2.33119,TRUE,TRUE
scfuzzbench: smart contract fuzzer benchmark suite,Donor 57,1,FINN,1,2.33119,TRUE,TRUE
Self-Custodial Agent Authorization for Ethereum,Donor 57,1,FINN,1,2.33119,TRUE,TRUE
SEAL Safe Harbor,Donor 57,1,FINN,1,2.33119,TRUE,TRUE
EIPsInsight,Donor 58,10,USDT,5.1,5.1051,TRUE,FALSE
ECH Institute - EthCatHerders,Donor 58,10,USDT,5.1,5.1051,TRUE,FALSE
The Web3 OpSec Standard - W3OS,Donor 59,42161,USDC,100,99.9763,TRUE,FALSE
ZachXBT,Donor 60,42161,USDC,1.1,1.0997932,TRUE,FALSE
human.tech,Donor 60,42161,USDC,1.1,1.0997932,TRUE,FALSE
Revoke.cash,Donor 60,42161,USDC,5.1,5.0990412,TRUE,FALSE
Remix Project,Donor 60,42161,USDC,5.1,5.0990412,TRUE,FALSE
SEAL 911,Donor 61,1,ETH,0.02,46.6464,FALSE,FALSE
Drew Security,Donor 61,1,ETH,0.02,46.6464,FALSE,FALSE
Boring Security,Donor 61,1,ETH,0.02,46.6464,FALSE,FALSE
ZachXBT,Donor 61,1,ETH,0.02,46.6464,FALSE,FALSE
Revoke.cash,Donor 61,1,ETH,0.02,46.6464,FALSE,FALSE
WiiMee | Wallet Security Education,Donor 61,1,ETH,0.02,46.6464,FALSE,FALSE
SEAL Intel,Donor 61,1,ETH,0.02,46.6464,FALSE,FALSE
tanuki42,Donor 61,1,ETH,0.02,46.6464,FALSE,FALSE
Revoke.cash,Donor 62,10,USDT,1,0.999946,TRUE,FALSE
EVMcrispr,Donor 62,10,USDT,1,0.999946,TRUE,FALSE
SEAL 911,Donor 62,10,USDT,1,0.999946,TRUE,FALSE
ZachXBT,Donor 62,10,USDT,1,0.999946,TRUE,FALSE
Safe Multisig Transaction Hashes,Donor 62,10,USDT,1,0.999946,TRUE,FALSE
SEAL 911,Donor 63,1,USDC,10,9.99886,TRUE,FALSE
human.tech,Donor 64,42161,USDT,1,1,TRUE,FALSE
SEAL 911,Donor 65,1,FINN,1,2.3208,TRUE,TRUE
Solidity Language Server,Donor 66,1,ETH,0.1,230.66,TRUE,FALSE
