id,project_name,transactionNetworkId,userId,currency,amount,amountUSD,createdAt,projectId,score,mbdScore,isBadgeholder,isQfEligible,isSelfDonation
238691371,Transaction graph,1,Donor 3171,ETH,0.001337,3.01390551,2026-05-13T15:37:52.387Z,16739,16,51,TRUE,TRUE,FALSE
238691372,Safe OpenSig: Eliminating Blind Signing,1,Donor 3171,ETH,0.001337,3.01390551,2026-05-13T15:37:52.391Z,17084,16,51,TRUE,TRUE,FALSE
238691373,The Red Guild: security as a public good,1,Donor 3171,ETH,0.1337,301.390551,2026-05-13T15:37:52.399Z,16819,16,51,TRUE,TRUE,FALSE
238691374,scfuzzbench: smart contract fuzzer benchmark suite,1,Donor 3171,ETH,0.001337,3.01390551,2026-05-13T15:37:52.399Z,16810,16,51,TRUE,TRUE,FALSE
238691375,"Vero, a multi-node validator client",1,Donor 3171,ETH,0.001337,3.01390551,2026-05-13T15:37:52.392Z,16115,16,51,TRUE,TRUE,FALSE
238691376,Wallet Security Ranking,1,Donor 3171,ETH,0.1337,301.390551,2026-05-13T15:37:52.403Z,17085,16,51,TRUE,TRUE,FALSE
238691377,Bitfinding,1,Donor 3171,ETH,0.3373,760.351779,2026-05-13T15:37:52.394Z,16891,16,51,TRUE,TRUE,FALSE
238691378,Self-Custodial Agent Authorization for Ethereum,8453,Donor 3376,ETH,0.01,22.5252,2026-05-13T15:40:02.742Z,16790,0,-1,FALSE,FALSE,FALSE
238691380,DeFiHackLabs,42161,Donor 372,USDT,40,39.98796,2026-05-13T15:41:05.504Z,3545,16,51,TRUE,TRUE,FALSE
238691382,human.tech,10,Donor 3377,USDC,5.021,5.013483563,2026-05-13T15:52:15.571Z,16899,20.546,1,FALSE,TRUE,FALSE
238691383,Pharos Watch: Transparent Stablecoins Analytics,1,Donor 127,USDC,10,9.98302,2026-05-13T15:54:02.148Z,16843,0,56,FALSE,TRUE,FALSE
238691385,Grego AI,1,Donor 127,USDC,5,4.99151,2026-05-13T15:54:02.241Z,16801,0,56,FALSE,TRUE,FALSE
238691386,Rekt News - Ethereum's Security Intelligence Layer,1,Donor 127,USDC,60,59.89812,2026-05-13T15:54:02.242Z,16916,0,56,FALSE,TRUE,FALSE
238691387,human.tech,1,Donor 127,USDC,10,9.98302,2026-05-13T15:54:02.245Z,16899,0,56,FALSE,TRUE,FALSE
238691388,OpSec Hub,1,Donor 127,USDC,5,4.99151,2026-05-13T15:54:02.248Z,16917,0,56,FALSE,TRUE,FALSE
238691390,Grego AI,1,Donor 106,USDC,10,9.99107,2026-05-13T15:55:16.359Z,16801,0,38,FALSE,FALSE,FALSE
238691392,Fight Human Trafficking and Crypto Fraud With dobs,1,Donor 106,USDC,20,19.98214,2026-05-13T15:58:03.936Z,16931,0,38,FALSE,FALSE,FALSE
238691394,human.tech,1,Donor 106,USDC,20,19.99092,2026-05-13T16:01:27.689Z,16899,0,38,FALSE,FALSE,FALSE
238691395,SEAL 911,8453,Donor 3378,ETH,0.000535,1.1973942,2026-05-13T16:05:02.455Z,14585,16.026,-1,FALSE,TRUE,FALSE
238691396,"OSs Security - Hardening for macOs, Linux & Windows",1,Donor 106,USDC,20,19.96452,2026-05-13T16:08:52.429Z,16963,0,38,FALSE,FALSE,FALSE
238691397,tanuki42,1,Donor 106,USDC,9,8.984034,2026-05-13T16:08:52.387Z,16858,0,38,FALSE,FALSE,FALSE
238691398,The Web3 OpSec Standard - W3OS,1,Donor 106,USDC,9,8.984034,2026-05-13T16:08:52.433Z,16772,0,38,FALSE,FALSE,FALSE
238691399,Safe Multisig Transaction Hashes,1,Donor 106,USDC,8,7.985808,2026-05-13T16:08:54.207Z,16199,0,38,FALSE,FALSE,FALSE
238691400,CORE3. The open risk layer for Web3,1,Donor 3379,ETH,0.008922,20.01320586,2026-05-13T16:10:11.189Z,16845,0,7,FALSE,FALSE,FALSE
238691401,Open-Source AI Security Triage by HackenProof,1,Donor 3379,ETH,0.008922,20.01320586,2026-05-13T16:10:11.254Z,16785,0,7,FALSE,FALSE,FALSE
238691402,snekmate,1,Donor 84,USDC,5,4.99633,2026-05-13T16:10:15.266Z,16209,17.438,3,FALSE,TRUE,FALSE
238691403,Safe Multisig Transaction Hashes,1,Donor 84,USDC,5,4.99633,2026-05-13T16:10:15.290Z,16199,17.438,3,FALSE,TRUE,FALSE
238691404,CORE3. The open risk layer for Web3,1,Donor 84,USDC,5,4.99633,2026-05-13T16:10:15.278Z,16845,17.438,3,FALSE,TRUE,FALSE
238691405,OpSec Hub,1,Donor 84,USDC,4.9,4.8964034,2026-05-13T16:10:15.303Z,16917,17.438,3,FALSE,TRUE,FALSE
238691406,SCAR: AI Retrieval for Smart Contract Security,1,Donor 84,USDC,15,14.98899,2026-05-13T16:10:15.306Z,16947,17.438,3,FALSE,TRUE,FALSE
238691407,Aragon,1,Donor 84,USDC,5,4.99633,2026-05-13T16:10:15.312Z,16795,17.438,3,FALSE,TRUE,FALSE
